id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature
7L5IwfKB6W0tadcSh9wlyH,Ouverture,short_term,5.393939393939394,7L5IwfKB6W0tadcSh9wlyH,0.336,0.496,-19.44,0.185,129.006,1,0.0513,0.955,0.912,322173,4
0tAZi3X7dUdd7m8OXB8pMA,Shadow,short_term,5.2727272727272725,0tAZi3X7dUdd7m8OXB8pMA,0.275,0.0832,-15.256,0.0334,170.316,0,0.0347,0.887,0.853,558267,1
1XMDIKQbV30WJPKLMN6MKv,INSTRUCTION,short_term,4.96969696969697,1XMDIKQbV30WJPKLMN6MKv,0.355,0.491,-12.48,0.0369,145.405,1,0.0354,0.382,0.887,262733,4
1XZdwzd8DTDvkjVc0eJ9BI,Wildlife Analysis,short_term,4.909090909090909,1XZdwzd8DTDvkjVc0eJ9BI,0.0204,0.155,-31.212,0.278,79.755,0,0.0462,0.995,0.936,75627,4
1f4cKwcKfNiLbQr8x2tZ3C,Melt!,short_term,4.848484848484849,1f4cKwcKfNiLbQr8x2tZ3C,0.919,0.785,-13.059,0.443,131.037,1,0.0552,0.00772,0.916,214307,4
2278Bt6LM1PRIrHdJAwRII,Bird,short_term,4.727272727272728,2278Bt6LM1PRIrHdJAwRII,0.433,0.663,-13.287,0.275,109.999,1,0.0372,0.24,0.875,315266,4
3KPBhpMXdynTzcSev5Q5Wd,Pêcheuse de Lune,short_term,4.484848484848484,3KPBhpMXdynTzcSev5Q5Wd,0.64,0.316,-6.604,0.355,123.79,1,0.041,0.00366,8.8e-06,215049,4
5qVMK9Kolb5pmTsQ3Vd6nF,IDGAF,short_term,4.242424242424242,5qVMK9Kolb5pmTsQ3Vd6nF,0.943,0.371,-3.436,0.537,83.047,1,0.081,0.000104,0.0,165431,4
5wmBPrUdXE8GygO3qyGUbE,Spring Ritournelle - Catch Yourself Falling Demo,short_term,4.181818181818182,5wmBPrUdXE8GygO3qyGUbE,0.697,0.519,-11.884,0.893,148.054,1,0.0314,0.439,0.77,195400,4
03nI9nWuShqmWPhXRngQsy,Teach Them How To Bleed,short_term,4.121212121212121,03nI9nWuShqmWPhXRngQsy,0.995,0.4,-5.024,0.0386,123.987,1,0.142,0.00184,0.905,192973,4
05xCJ6BYn3V55oX5xji5kz,Cold Front,short_term,4.0606060606060606,05xCJ6BYn3V55oX5xji5kz,0.555,0.608,-11.145,0.195,139.859,1,0.0359,0.344,0.689,192227,4
1uX5AUX69UtVhxbFI6H1Ql,Cheap And Cheerful - Sebastian remix,short_term,3.939393939393939,1uX5AUX69UtVhxbFI6H1Ql,0.781,0.586,-5.877,0.265,128.972,1,0.252,0.00375,3.41e-05,356400,4
2tosp3JAI9RxoiJmk6lDQB,Agoraphobia,short_term,3.878787878787879,2tosp3JAI9RxoiJmk6lDQB,0.268,0.62,-22.273,0.145,133.011,0,0.0386,0.993,0.923,234827,4
2uP6FN38qFGP5TrjEEyVbW,Function Music,short_term,3.8181818181818175,2uP6FN38qFGP5TrjEEyVbW,0.154,0.587,-15.71,0.0285,126.048,0,0.0318,0.956,0.86,302000,4
2yPPWQwZOtmgW716VrtFwN,21st Century Schizoid Man,short_term,3.757575757575757,2yPPWQwZOtmgW716VrtFwN,0.97,0.0986,-3.373,0.0372,79.753,1,0.215,0.000312,0.763,521424,4
3hJ6I6Xr9cWiw5I2MPMDr6,Catch Yourself Falling (feat. Alexis Taylor),short_term,3.696969696969697,3hJ6I6Xr9cWiw5I2MPMDr6,0.775,0.707,-9.495,0.886,148.012,1,0.029,0.304,0.102,250200,4
42inyu6e9EOPzc5taK3H2G,Bena bena,short_term,3.636363636363636,42inyu6e9EOPzc5taK3H2G,0.901,0.61,-7.582,0.968,165.051,1,0.0353,0.57,0.0274,294627,3
4cDJQmGTwOvujaQ4VwxMnp,The Border,short_term,3.515151515151515,4cDJQmGTwOvujaQ4VwxMnp,0.522,0.621,-11.769,0.364,105.005,1,0.0375,0.169,0.765,289507,4
5ypdfroOYzJ8OCFTdAxmE4,Back to Your Heart (feat. Kate NV),short_term,3.393939393939394,5ypdfroOYzJ8OCFTdAxmE4,0.382,0.688,-9.796,0.724,115.466,0,0.029,0.328,0.0785,286867,3
61ETUvhjw9Ama7Q9F4FFPe,The Madness and the Damage Done,short_term,3.333333333333333,61ETUvhjw9Ama7Q9F4FFPe,0.993,0.238,-2.293,0.0692,177.028,1,0.142,8.3e-05,0.462,320440,4
6GnwaKutVHDoDwJCJf0h4m,Concrete and Glass,short_term,3.212121212121212,6GnwaKutVHDoDwJCJf0h4m,0.423,0.802,-13.0,0.971,120.013,1,0.0943,0.709,0.869,252427,4
7i7fHvZz7dx1JIuYiQFn1L,Dancing By Night,short_term,3.1515151515151514,7i7fHvZz7dx1JIuYiQFn1L,0.483,0.59,-6.775,0.0387,90.103,1,0.0314,0.077,0.0105,220540,4
5xJDI5YYHk6dFexvSVonw2,Unfold,short_term,2.909090909090909,5xJDI5YYHk6dFexvSVonw2,0.802,0.594,-6.084,0.759,107.861,1,0.0332,0.00329,0.0454,90127,4
