id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature,pitches,timbre,key,mode,id_copy_2
7L5IwfKB6W0tadcSh9wlyH,Ouverture,short_term,5.393939393939394,7L5IwfKB6W0tadcSh9wlyH,0.336,0.496,-19.44,0.185,129.006,1,0.0513,0.955,0.912,322173,4,"[0.27, 0.58, 0.21, 0.27, 0.18, 0.34, 0.26, 0.07, 0.08, 0.27, 0.57, 0.19]","[36.4, -140.17, -20.32, -18.11, 13.38, -37.86, 3.36, 1.33, -6.62, 3.97, -0.23, 9.65]",75.0,0.14,7L5IwfKB6W0tadcSh9wlyH
0tAZi3X7dUdd7m8OXB8pMA,Shadow,short_term,5.2727272727272725,0tAZi3X7dUdd7m8OXB8pMA,0.275,0.0832,-15.256,0.0334,170.316,0,0.0347,0.887,0.853,558267,1,"[0.18, 0.26, 0.64, 0.5, 0.16, 0.26, 0.16, 0.21, 0.18, 0.24, 0.43, 0.27]","[40.29, -65.03, 29.6, -16.94, 3.88, -26.49, -13.53, -4.79, -7.63, -6.14, -3.13, -4.81]",93.33333333333333,0.86,0tAZi3X7dUdd7m8OXB8pMA
1XMDIKQbV30WJPKLMN6MKv,INSTRUCTION,short_term,4.96969696969697,1XMDIKQbV30WJPKLMN6MKv,0.355,0.491,-12.48,0.0369,145.405,1,0.0354,0.382,0.887,262733,4,"[0.51, 0.26, 0.22, 0.12, 0.12, 0.2, 0.21, 0.39, 0.22, 0.23, 0.36, 0.3]","[38.23, -65.25, -37.01, -15.68, 9.7, -36.31, 2.88, 5.27, 0.3, 6.89, -7.41, -0.66]",75.0,0.36,1XMDIKQbV30WJPKLMN6MKv
1XZdwzd8DTDvkjVc0eJ9BI,Wildlife Analysis,short_term,4.909090909090909,1XZdwzd8DTDvkjVc0eJ9BI,0.0204,0.155,-31.212,0.278,79.755,0,0.0462,0.995,0.936,75627,4,"[0.12, 0.06, 0.43, 0.1, 0.56, 0.08, 0.08, 0.16, 0.12, 0.32, 0.07, 0.7]","[28.95, -181.05, 81.47, 3.86, 94.46, -38.57, -6.71, 3.01, 1.94, -1.53, -1.75, -22.52]",0.0,0.33,1XZdwzd8DTDvkjVc0eJ9BI
1f4cKwcKfNiLbQr8x2tZ3C,Melt!,short_term,4.848484848484849,1f4cKwcKfNiLbQr8x2tZ3C,0.919,0.785,-13.059,0.443,131.037,1,0.0552,0.00772,0.916,214307,4,"[0.63, 0.68, 0.49, 0.41, 0.46, 0.5, 0.56, 0.53, 0.52, 0.46, 0.4, 0.48]","[36.82, 22.73, -62.74, 44.28, 36.1, -56.15, -10.76, 11.6, -3.3, 16.44, -4.43, 3.99]",85.71428571428571,0.56,1f4cKwcKfNiLbQr8x2tZ3C
2278Bt6LM1PRIrHdJAwRII,Bird,short_term,4.727272727272728,2278Bt6LM1PRIrHdJAwRII,0.433,0.663,-13.287,0.275,109.999,1,0.0372,0.24,0.875,315266,4,"[0.39, 0.28, 0.21, 0.06, 0.13, 0.42, 0.26, 0.27, 0.47, 0.53, 0.53, 0.3]","[42.57, -67.67, -54.54, -10.69, 39.44, -35.51, -4.65, -17.96, 1.84, -2.99, -9.37, -13.47]",90.0,0.82,2278Bt6LM1PRIrHdJAwRII
3KPBhpMXdynTzcSev5Q5Wd,Pêcheuse de Lune,short_term,4.484848484848484,3KPBhpMXdynTzcSev5Q5Wd,0.64,0.316,-6.604,0.355,123.79,1,0.041,0.00366,8.8e-06,215049,4,"[0.48, 0.48, 0.3, 0.25, 0.27, 0.38, 0.27, 0.25, 0.33, 0.26, 0.49, 0.41]","[51.03, 31.63, 13.56, -18.44, 20.06, -32.68, 3.02, -0.44, -0.67, -0.08, -6.89, -4.96]",83.33333333333333,0.57,3KPBhpMXdynTzcSev5Q5Wd
5qVMK9Kolb5pmTsQ3Vd6nF,IDGAF,short_term,4.242424242424242,5qVMK9Kolb5pmTsQ3Vd6nF,0.943,0.371,-3.436,0.537,83.047,1,0.081,0.000104,0.0,165431,4,"[0.66, 0.64, 0.5, 0.34, 0.36, 0.48, 0.36, 0.37, 0.3, 0.32, 0.37, 0.39]","[55.17, 67.08, 24.64, -7.19, 17.05, -36.75, 22.2, 4.58, -19.26, 3.71, -9.34, -6.51]",80.0,0.86,5qVMK9Kolb5pmTsQ3Vd6nF
5wmBPrUdXE8GygO3qyGUbE,Spring Ritournelle - Catch Yourself Falling Demo,short_term,4.181818181818182,5wmBPrUdXE8GygO3qyGUbE,0.697,0.519,-11.884,0.893,148.054,1,0.0314,0.439,0.77,195400,4,"[0.53, 0.3, 0.3, 0.19, 0.34, 0.2, 0.2, 0.48, 0.19, 0.25, 0.13, 0.29]","[44.3, -43.93, -40.29, -7.87, 5.34, -33.82, -6.37, -13.98, 0.38, -0.86, -3.69, 5.4]",50.0,0.9,5wmBPrUdXE8GygO3qyGUbE
03nI9nWuShqmWPhXRngQsy,Teach Them How To Bleed,short_term,4.121212121212121,03nI9nWuShqmWPhXRngQsy,0.995,0.4,-5.024,0.0386,123.987,1,0.142,0.00184,0.905,192973,4,"[0.71, 0.65, 0.46, 0.57, 0.49, 0.48, 0.52, 0.5, 0.65, 0.47, 0.49, 0.41]","[53.8, 57.7, 30.79, -13.85, 2.07, -32.2, -4.44, 2.14, -4.58, 2.06, -3.57, 4.95]",87.5,0.88,03nI9nWuShqmWPhXRngQsy
