,track_name,rating
0,"Concerto No. 4 in G major, BWV 1049: II. Andante",7
1,"Violin Concerto in A Minor, BWV 1041: II. Andante",8
2,"Mass in B Minor, BWV 232: Agnus Dei: Agnus Dei (Alto)",7
3,"The Well-Tempered Clavier,BWV 846: Prelude I in C Major",8
4,"Bach: Fugee, BWV 543",8
5,"Matthäus Passion, BWV 244: Recitativo, ""Da hub er an, sich zu verfluchen""",8
6,"Matthäus Passion, BWV 244: Aria, ""Erbarme dich""",9
7,"Suite No.3 In D, BWV 1068: 2. Air",9
8,"Gottes Zeit ist die allerbeste Zeit, Sonatina az ""Actus tragicus""-ból, BWV 106",7
9,"Bach, JS: Concerto for 4 Pianos in A Minor, BWV 1065: II. Largo",7
10,"Goldberg Variations, BWV 988: Aria",8
11,"Fugue, In C Minor, BWV 961",7
12,Toccata and Fugue in D minor,7
13,"Concerto in D Minor, BWV 974: 2. Adagio",7
14,"Concerto in D Minor, BWV 974: 3. Presto",7
15,"Widerstehe doch der Sünde, BWV 54 (Transcr. by Víkingur Ólafsson)",8
16,"Ich ruf zu dir, Herr Jesu Christ, BWV 639",9
17,"Wachet auf, ruft uns die Stimme, BWV 645",9
18,"Flute Sonata in E Minor, BWV 1034: III. Andante",6
19,"Wenn wir in höchsten Nöten sein, BWV 641",7
20,"Das alte Jahr vergangen ist, BWV 614",8
21,"Orchestral Suite No. 2 in B Minor, BWV 1067: VII. Badinerie",6
22,"Sonata in E-Flat, BWV 1031: Siciliana",8
23,"Italian Concerto in F Major, BWV 971: I. -",6
24,"Keyboard Concerto No. 5 in F Minor, BWV 1056: II. Largo",7
25,"Passacaglia in C minor, BWV 582",8
26,"Nun komm, der Heiden Heiland, BWV 659 - Arranged For Piano By Wilhelm Kempff",6
27,"Concerto For Harpsichord, Strings, And Continuo No.5 In F Minor, BWV 1056 - Arranged by Wilhelm Kempff: Largo",7
28,"Jesus bleibet meine Freude, BWV 147/6 (Cantata 147, Herz und Mund und Tat und Leben)",9
29,"Prelude for Lute in C Minor, BWV 999",9
30,"Bach, J.S.: Violin Partita No. 2 in D Minor, BWV 1004: V. Chaconne",6
31,"Goldberg Variations, BWV 988: Variation 1 a 1 Clav.",8
32,"Goldberg Variations, BWV 988: Variation 3 a 1 Clav. Canone all'Unisono",6
33,"Bach: Partita in A Minor, BWV 1013: I. Allemande",7
34,"Sonata No.2 In E Flat Major, BWV 1031: 2. Siciliano",8
35,"Die Kunst der Fuga, BWV 1080: I. Fuga simplex rectus, BWV 1080/1",8
36,"St. Matthew Passion, BWV 244, Pt. 1: No. 3, Herzliebster Jesu, was hast du verbrochen (Live)",7
37,"O Welt, sieh' hier dein Leben, BWV 395",6
38,"Concerto in F major, BWV 978 (from Vivaldi RV 310) - Arr. for harp and orchestra by N.Zabaleta: 3. Allegro",7
39,"In dich hab' ich gehoffet, Herr, BWV 640",7
40,"Fantasia & Fugue In A Minor, BWV 944: Fantasia",8
41,"Suite In E Minor, BWV 996 - Transp. In G Minor: 5. Bourrée",8
42,"Suite No.2 In B Minor, BWV 1067: 7. Menuet",7
43,"Prelude & Fugue in C Minor (Well-Tempered Clavier, Book I, No. 2), BWV 847: 1. Prelude",9
44,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",6
45,"Goldberg Variations, BWV 988: Variatio 21 Canone alla Settima. (a 1 Clav.)",7
46,"Orgelbüchlein: 5. Puer natus in Bethlehem, BWV 603",6
47,"Erbarm dich mein, o Herre Gott, BWV 721 (Arr. A. Balio for Trumpet & Organ)",7
48,"Toccata And Fugue In D Minor, BWV 538 ""Dorian"": 1. (Toccata)",7
49,"Concerto in F major, BWV 978 (from Vivaldi RV 310) - Arr. for harp and orchestra by N.Zabaleta: 2. Largo",9
50,"Lute Suite in E Minor, BWV 996 (Arr. J. Williams for Guitar): IV. Sarabande",4
51,"Violin Partita No. 3 in E Major, BWV 1006: I. Preludio",4
52,"Suite for Cello Solo No.6 in D, BWV 1012: 5. Gavotte I-II",2
53,"Sonata for Viola da Gamba No. 3 in G Minor, BWV 1029: II. Adagio",3
54,"Erster Teil - Jauchzet, Frohlocket, Auf, Preiset Die Tage: Aria (Bass) - Großer Herr, O Starker König (Bach)",2
