track_name,duration_ms,energy,danceability,loudness,valence,tempo,time_signature,pitch_avg,timbre_avg,key_change_percentage,mode_avg,playlist
"Concerto No. 4 in G major, BWV 1049: II. Andante",219947,0.0245,0.169,-27.877,0.0667,135.468,4,"[0.34, 0.24, 0.32, 0.14, 0.31, 0.24, 0.14, 0.29, 0.13, 0.39, 0.26, 0.14]","[27.09, -2.55, 43.62, -11.54, 47.46, -32.39, 5.96, 1.3, 9.31, 5.99, -9.92, -8.05]",90.0,0.6,ja
"Violin Concerto in A Minor, BWV 1041: II. Andante",332533,0.0673,0.199,-22.556,0.0575,74.49,4,"[0.36, 0.16, 0.29, 0.12, 0.2, 0.21, 0.15, 0.33, 0.14, 0.27, 0.13, 0.23]","[33.72, 47.81, 69.75, -2.53, 39.44, -20.66, -20.15, -6.6, -2.79, -1.67, -5.8, 0.66]",90.9090909090909,0.71,ja
"Mass in B Minor, BWV 232: Agnus Dei: Agnus Dei (Alto)",319453,0.0099,0.108,-31.557,0.0442,86.297,4,"[0.23, 0.41, 0.19, 0.13, 0.16, 0.21, 0.37, 0.14, 0.25, 0.21, 0.11, 0.2]","[24.49, -35.98, 24.41, -21.47, 36.08, -27.32, -27.66, -2.31, -2.34, -0.54, -3.16, 1.56]",94.44444444444444,0.53,ja
"The Well-Tempered Clavier,BWV 846: Prelude I in C Major",150213,0.155,0.159,-31.61,0.234,133.046,4,"[0.44, 0.25, 0.32, 0.3, 0.19, 0.46, 0.22, 0.29, 0.18, 0.41, 0.52, 0.23]","[29.61, 66.15, 5.23, -18.09, 50.56, -35.17, -28.17, -12.54, 2.3, 5.9, -7.18, -12.32]",83.33333333333334,1.0,ja
"Bach: Fugee, BWV 543",214954,0.267,0.46,-24.927,0.505,171.044,4,"[0.12, 0.3, 0.11, 0.17, 0.16, 0.1, 0.2, 0.09, 0.41, 0.37, 0.09, 0.3]","[34.07, -179.96, 33.28, 6.85, 70.85, -29.06, -36.76, -2.8, -5.81, -5.41, -0.12, -9.88]",87.5,0.27,ja
"Matthäus Passion, BWV 244: Recitativo, ""Da hub er an, sich zu verfluchen""",70547,0.0358,0.324,-20.686,0.0828,81.549,1,"[0.29, 0.35, 0.3, 0.25, 0.26, 0.41, 0.21, 0.24, 0.27, 0.16, 0.15, 0.15]","[31.36, 26.32, 40.78, -12.14, 39.58, -11.36, -34.91, 0.21, 12.96, 3.37, -10.87, -0.34]",50.0,0.75,ja
"Matthäus Passion, BWV 244: Aria, ""Erbarme dich""",368680,0.067,0.172,-20.831,0.116,92.288,5,"[0.38, 0.33, 0.19, 0.24, 0.14, 0.36, 0.28, 0.18, 0.24, 0.21, 0.4, 0.18]","[33.72, 23.98, 42.9, -16.11, 37.95, -20.71, -41.51, -6.84, 4.49, -1.02, -4.18, 5.21]",93.33333333333333,0.29,ja
"Suite No.3 In D, BWV 1068: 2. Air",365147,0.07,0.0753,-27.272,0.0625,79.801,4,"[0.24, 0.28, 0.36, 0.19, 0.37, 0.14, 0.3, 0.32, 0.21, 0.45, 0.21, 0.33]","[31.62, 11.46, 63.37, -4.92, 22.32, -26.62, -29.07, -4.77, -4.24, 0.0, -2.85, -9.61]",90.9090909090909,0.75,ja
"Gottes Zeit ist die allerbeste Zeit, Sonatina az ""Actus tragicus""-ból, BWV 106",138840,0.0252,0.457,-35.116,0.168,74.137,4,"[0.24, 0.15, 0.2, 0.46, 0.15, 0.49, 0.09, 0.26, 0.31, 0.09, 0.35, 0.07]","[22.04, -134.26, 11.56, 7.16, 71.97, -25.17, -0.26, 22.0, -27.35, -3.25, -6.23, -0.42]",66.66666666666667,0.86,ja
"Bach, JS: Concerto for 4 Pianos in A Minor, BWV 1065: II. Largo",150893,0.00927,0.226,-23.203,0.0678,212.894,4,"[0.25, 0.26, 0.33, 0.14, 0.45, 0.12, 0.22, 0.29, 0.13, 0.31, 0.12, 0.23]","[27.1, -105.71, 37.05, 2.02, 85.02, -30.05, -5.78, 6.89, -13.34, -2.48, -4.71, -6.11]",85.71428571428571,0.88,ja
